نوع البطولة,الفريق الاول,الفريق الثاني,ميعاد المباراة,النتيجة
الدوري المصري,سموحة,الزمالك,19:00,1-0
الدوري المصري,البنك الاهلي,إنبي,19:00,1-5
الدوري الإنجليزي,برايتون,أستون فيلا,16:00,1-0
الدوري الإنجليزي,تشيلسي,وست هام يونايتد,16:00,5-0
الدوري الإنجليزي,ليفربول,توتنهام هوتسبر,18:30,4-2
الدوري الإسباني,أوساسونا,ريال بيتيس,15:00,0-2
الدوري الإسباني,سيلتا فيجو,فياريال,17:15,3-2
الدوري الإسباني,فالنسيا,ألافيس,19:30,0-1
الدوري الإسباني,اشبيلية,غرناطه,22:00,3-0
الدوري الإسباني,رايو فاييكانو,الميريا,22:00,0-1
الدوري الأفريقي لكرة السلة,ريج الرواندي,ريفرز هوبرز,17:30,82-86
الدوري الأفريقي لكرة السلة,إيه إس دوانّ,الإتحاد الرياضي المنستيري,20:30,76-59
الدوري الإيطالي,كالياري,ليتشي,13:30,1-1
الدوري الإيطالي,إمبولي,فروزينوني,16:00,0-0
الدوري الإيطالي,هيلاس فيرونا,فيورنتينا,16:00,2-1
الدوري الإيطالي,ميلان,جنوى,19:00,3-3
الدوري الإيطالي,روما,يوفنتوس,21:45,1-1
الدوري الألماني,يونيون برلين,بوخوم,16:30,3-4
الدوري الألماني,آ. فرانكفورت,باير ليفركوزن,18:30,1-5
الدوري الألماني,هايدنهايم,ماينز,20:30,1-1
الدوري التركي,إسطنبول باشاكشهير,قاسم باشا,16:00,4-1
الدوري التركي,جالاتا سراي,سيفاسبور,19:00,6-1
الدوري التركي,غازي عنتاب بي.بي.كي,هاتاي سبور,19:00,1-1
الدوري التونسي,الملعب التونسي,الترجى الرياضي,17:00,2-0
الدوري التونسي,قوافل قفصة,مستقبل المرسى,17:00,1-0
الدوري التونسي,الافريقي التونسي,الصفاقســــي,19:30,1-3
الدوري البرتغالي,فيرنسي,إستوريل,17:30,3-2
الدوري البرتغالي,سبورتينج براجا,كازا بيا,20:00,4-3
الدوري البرتغالي,أروكا,إستريلا,20:00,0-0
الدوري البرتغالي,فاماليكاو,بنفيكا,22:30,2-0
الدوري الإماراتي,حتا,عجمان,17:05,0-0
الدوري الإماراتي,الجــزيرة,بني ياس,19:45,1-0
